Date,Benchmark Eurostoxx50,Benchmark Stoxx600
2021-10-01,4035.300048828125,452.8999938964844
2021-10-04,3996.409912109375,450.7699890136719
2021-10-05,4065.429931640625,456.0299987792969
2021-10-06,4012.64990234375,451.3299865722656
2021-10-07,4098.33984375,458.5700073242188
2021-10-08,4073.2900390625,457.2900085449219
2021-10-11,4072.52001953125,457.5299987792969
2021-10-12,4055.090087890625,457.2099914550781
2021-10-13,4083.280029296875,460.3900146484375
2021-10-14,4149.06005859375,465.9200134277344
2021-10-15,4182.91015625,469.3900146484375
2021-10-18,4151.39990234375,467.0400085449219
2021-10-19,4166.830078125,468.5799865722656
2021-10-20,4172.169921875,470.0700073242188
2021-10-21,4155.72998046875,469.7099914550781
2021-10-22,4188.81005859375,471.8800048828125
2021-10-25,4188.31005859375,472.2099914550781
2021-10-26,4223.97021484375,475.739990234375
2021-10-27,4220.8798828125,474.0400085449219
2021-10-28,4233.8701171875,475.1600036621094
2021-10-29,4250.56005859375,475.510009765625
2021-11-01,4280.47021484375,478.8699951171875
2021-11-02,4296.22021484375,479.5299987792969
2021-11-03,4309.60986328125,481.2200012207031
2021-11-04,4333.33984375,483.2099914550781
2021-11-05,4363.0400390625,483.4400024414063
2021-11-08,4352.52978515625,483.6099853515625
2021-11-09,4344.6298828125,482.7099914550781
2021-11-10,4348.81982421875,483.760009765625
2021-11-11,4358.0,485.2900085449219
2021-11-12,4370.330078125,486.75
2021-11-15,4386.18994140625,488.4299926757813
2021-11-16,4401.490234375,489.2699890136719
2021-11-17,4400.81005859375,489.9500122070313
2021-11-18,4383.7001953125,487.7000122070313
2021-11-19,4356.47021484375,486.0799865722656
2021-11-22,4338.68994140625,485.4599914550781
2021-11-23,4283.81982421875,479.25
2021-11-24,4276.25,479.6900024414063
2021-11-25,4293.240234375,481.7200012207031
2021-11-26,4089.580078125,464.0499877929688
2021-11-29,4109.509765625,467.239990234375
2021-11-30,4063.06005859375,462.9599914550781
2021-12-01,4179.14990234375,470.8599853515625
2021-12-02,4108.02001953125,465.4400024414063
2021-12-03,4080.14990234375,462.7699890136719
2021-12-06,4137.10986328125,468.7099914550781
2021-12-07,4276.2001953125,480.1799926757813
2021-12-08,4233.08984375,477.3599853515625
2021-12-09,4208.2998046875,476.989990234375
2021-12-10,4199.16015625,475.55999755859375
2021-12-13,4183.0400390625,473.5299987792969
2021-12-14,4144.509765625,469.55999755859375
